8.46292	0.243462	0	0	8.46292	0.243462	8.45	0.25	-3.00027	0
8.55888	0.241774	-0.0084871	-0.0406771	8.56759	0.241943	8.45	0.25	0	0
8.44861	0.257691	-1.26811	0.154724	8.42544	0.254042	8.25	0.25	-1.81978	0
8.12318	0.190357	-2.89573	-0.373374	7.93286	0.188391	7.85	0.15	-3.99972	-0.99993
7.76544	0.159754	-3.10185	-0.336452	7.61269	0.155818	7.55	0.15	-2.99982	0
7.50075	0.102888	-2.33554	-0.405114	7.50815	0.0953827	7.35	0.0500011	-1.81648	-0.90823
7.21837	0.0291181	-2.63082	-0.490078	7.20598	0.00492725	7.05	-0.0499992	-2.72849	-0.909499
6.94314	-0.0928312	-2.01996	-0.679846	6.74585	-0.143185	6.85	-0.25	-1.81896	-1.81897
6.72172	-0.256162	-2.03958	-0.924465	6.66966	-0.346668	6.65	-0.449999	-2.00076	-2.00075
6.58313	-0.453583	-1.32587	-1.24776	6.60862	-0.557035	6.55	-0.65	-0.99884	-1.99769
6.47649	-0.712373	-0.818474	-1.64478	6.40696	-0.842921	6.45	-1.05	-0.908739	-3.63494
6.34903	-1.004	-1.26722	-1.89915	6.38626	-1.15695	6.25	-1.25	-1.81896	-1.81896
6.35171	-1.35723	0.338205	-2.56839	6.43125	-1.48148	6.35	-1.65	0.909727	-3.63891
6.31736	-1.69114	-0.417211	-2.60072	6.3228	-1.81431	6.25	-1.95	-0.999489	-2.99847
6.33298	-2.03712	0.350915	-3.04157	6.31851	-2.10969	6.35	-2.25	0.999979	-2.99994
6.33906	-2.36812	0.0235551	-2.98559	6.32593	-2.40018	6.35	-2.55	0	-2.72611
6.38103	-2.70969	0.448863	-3.15132	6.43125	-2.71878	6.45	-2.85	0.909503	-2.72851
6.42178	-3.01586	0.275078	-3.01014	6.46536	-3.00452	6.45	-3.15	0	-2.99754
6.48561	-3.33134	0.625155	-3.13244	6.52249	-3.32007	6.55	-3.45	0.910402	-2.7312
6.60072	-3.64999	1.03376	-3.21278	6.6358	-3.59197	6.75	-3.75	1.81721	-2.72581
6.72751	-3.95447	0.912824	-2.98809	6.83625	-3.92723	6.85	-4.05	0.907976	-2.72393
6.8411	-4.24167	0.89665	-2.84809	6.86943	-4.18507	6.95	-4.35	0.90933	-2.72799
6.93905	-4.50531	0.606072	-2.53342	7.05156	-4.49706	7.05	-4.55	0.910054	-1.8201
7.04771	-4.74512	0.843606	-2.51893	7.10252	-4.67934	7.15	-4.85	0.908297	-2.72489
7.20359	-5.0333	1.37991	-2.79554	7.3138	-5.05204	7.35	-5.15	1.81907	-2.72861
7.34506	-5.30715	1.2265	-2.6268	7.29446	-5.23429	7.45	-5.45	0.90819	-2.72457
7.50413	-5.58326	1.26133	-2.57152	7.63082	-5.61863	7.65	-5.65	1.81972	-1.81972
7.6443	-5.83166	1.20876	-2.45124	7.60376	-5.74774	7.75	-5.95	0.909826	-2.72948
7.82556	-6.10854	1.79762	-2.84973	7.82165	-6.06822	7.95	-6.25	1.99858	-2.99787
8.01531	-6.38105	1.51401	-2.55651	8.17338	-6.44684	8.15	-6.45	1.81737	-1.81737
8.17095	-6.62671	1.39113	-2.40235	8.08628	-6.51855	8.25	-6.75	0.909293	-2.72787
8.32825	-6.87264	1.45875	-2.41261	8.25648	-6.78122	8.45	-6.95	1.81993	-1.81993
8.47365	-7.10477	1.41477	-2.34791	8.39359	-7.01743	8.55	-7.25	1.00006	-3.00018
8.64504	-7.37403	1.80946	-2.69915	8.64403	-7.39047	8.75	-7.55	1.99808	-2.99712
8.79672	-7.63606	1.28281	-2.26909	8.87176	-7.71912	8.85	-7.75	0.909946	-1.81988
8.93267	-7.89287	1.4238	-2.43109	8.88333	-7.88636	8.95	-8.05	0.999095	-2.9973
9.02532	-8.11602	1.00541	-2.1043	8.8564	-8.01424	9.05	-8.25	0.909301	-1.81859
9.14688	-8.3832	1.27734	-2.41475	9.17781	-8.47056	9.15	-8.55	1.00038	-3.00117
9.24222	-8.63428	0.939722	-2.17102	9.22922	-8.6898	9.25	-8.75	0.9095	-1.81899
9.40424	-8.95812	1.87928	-3.13143	9.37748	-9.00609	9.45	-9.15	1.99964	-3.99928
9.53257	-9.23558	1.26836	-2.58813	9.50096	-9.25642	9.55	-9.35	0.999584	-1.99917
9.61612	-9.48317	1.02088	-2.4141	9.47534	-9.42627	9.55	-9.65	0	-3.0002
9.71148	-9.77471	1.15567	-2.65889	9.69942	-9.88416	9.65	-9.95	0.998995	-2.997
9.77346	-10.0331	0.773839	-2.35481	9.60087	-9.96395	9.75	-10.15	0.909847	-1.81969
9.85129	-10.3193	0.79699	-2.45506	9.92627	-10.4745	9.75	-10.45	0	-3.00063
9.90982	-10.5935	0.872446	-2.62691	9.71825	-10.5087	9.85	-10.75	0.908161	-2.72448
9.95595	-10.8861	0.553504	-2.39281	9.88465	-10.9383	9.85	-11.05	0	-2.73073
9.97984	-11.1653	0.539964	-2.50801	9.83952	-11.1692	9.85	-11.35	0	-2.99961
9.98837	-11.4625	0.461173	-2.6033	9.87961	-11.5637	9.85	-11.65	0	-2.99843
9.9423	-11.7189	-0.194337	-2.02786	9.85311	-11.8523	9.75	-11.85	-1.00029	-2.00059
9.88355	-11.964	-0.145479	-2.26077	9.69694	-11.9706	9.65	-12.15	-1.00039	-3.00116
9.79921	-12.223	-0.492923	-2.04584	9.72311	-12.3964	9.55	-12.35	-0.999884	-1.99979
9.65557	-12.4205	-0.959598	-1.66984	9.39039	-12.3902	9.35	-12.55	-1.99804	-1.99804
9.50445	-12.6438	-0.997126	-1.83276	9.34456	-12.7106	9.25	-12.75	-0.909773	-1.81954
9.28433	-12.836	-1.71819	-1.12841	9.15326	-13.0031	8.85	-12.95	-3.99253	-1.99627
9.01517	-12.9836	-1.94318	-1.10748	8.71632	-12.9613	8.65	-13.05	-1.8213	-0.910651
8.72836	-13.1159	-2.28169	-0.86087	8.54518	-13.1702	8.35	-13.15	-2.997	-0.998995
8.40946	-13.1873	-2.70871	-0.395993	8.22926	-13.1698	8.05	-13.15	-2.72742	0
8.06221	-13.2108	-2.87212	-0.273	7.82914	-13.0525	7.75	-13.15	-2.72986	0
