0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.56135	-0.138671	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
3.88872	-0.134575	2.54527	0.0440222	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
6.86212	0.415165	3.11048	0.711669	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
9.08024	0.594947	1.93261	0.00960069	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
11.5737	1.66344	2.67292	1.40729	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
13.5942	2.31438	1.81176	0.408949	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
16.6416	2.90241	3.44266	0.645327	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
19.0141	3.70504	2.03013	0.852952	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
21.3303	4.73149	2.40777	1.08196	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
24.0776	5.57047	2.85593	0.761243	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
26.6063	6.95897	2.42402	1.5892	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
29.5846	8.08939	3.15559	0.983629	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
31.9442	9.87754	2.10495	2.04556	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
34.6138	10.7028	2.85031	0.434804	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
37.1414	12.0852	2.42432	1.68565	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
40.326	13.4676	3.42789	1.28533	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
42.7696	14.8291	2.12862	1.3859	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
45.3557	16.5513	2.73248	1.82976	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
48.1539	17.287	2.81918	0.385724	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
50.6239	19.0676	2.35834	2.22677	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
53.7244	19.9028	3.33787	0.389965	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
56.0356	21.0897	1.98275	1.44194	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
58.6611	21.7845	2.83117	0.455768	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
60.8743	22.7859	2.01542	1.17592	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
63.3805	23.4087	2.66325	0.44588	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
66.3393	23.9954	3.05342	0.631747	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
68.2657	24.359	1.56582	0.277867	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
70.8242	24.8836	2.87612	0.603462	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
72.8949	24.7161	1.81294	-0.414206	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
75.0011	25.2563	2.20009	0.845665	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
77.1227	24.9335	2.09646	-0.696714	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
79.1093	25.0343	1.95139	0.355938	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
80.8083	24.8705	1.61823	-0.330022	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
82.6209	24.639	1.87491	-0.200002	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
84.1744	24.5501	1.4506	-0.0534069	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
85.6377	23.8102	1.46739	-0.95946	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
86.9454	23.5248	1.25665	-0.06971	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
88.8207	22.7891	2.07311	-0.948857	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
89.5012	22.3066	0.235027	-0.333205	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
90.5107	21.6687	1.25732	-0.735497	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
91.718	21.1146	1.19122	-0.495952	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
92.8601	20.9526	1.12635	-0.055176	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
93.4685	20.2177	0.442768	-0.952416	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
95.3183	19.6572	2.29995	-0.435094	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
95.5108	19.6969	-0.481811	0.191531	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
96.26	19.1621	1.14314	-0.767121	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
97.5282	18.7259	1.3082	-0.330353	97.5286	18.727	97.45	18.506	0.868716	-0.503009
98.2125	18.374	0.484664	-0.358806	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
99.0352	17.3591	0.930799	-1.22475	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
99.9968	16.9854	0.971441	-0.101381	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
101.203	16.538	1.28141	-0.558203	101.204	16.5368	101.065	16.497	0.991362	-0.513687
102.387	16.3979	1.15295	-0.00633681	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
103.005	15.3564	0.44688	-1.37265	103.003	15.353	103.119	15.4967	1.11708	-0.508169
104.112	15.2666	1.31833	0.320703	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
105.541	14.445	1.46348	-1.18716	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
